Player_ID,Player,Negotiations,Fights,Total
853257593,Footsoldier,35,6919,6989
4225910,Hadrian the Intrepid 121,0,6450,6450
854681998,Zodman,0,6283,6283
853267111,Kuniggsbog,0,5977,5977
705849,lasherbob,0,5820,5820
8622496,Waynes world1,0,5712,5712
2277993,Crusaderx,0,5691,5691
9795849,Magnus the Terrible 439,350,4905,5605
1758550,marco965,0,5605,5605
851914808,Selene the Blessed 1233,0,5471,5471
12782869,Qi the coconut,0,5469,5469
4194345,becop,0,4767,4767
9762415,0p1ate,0,4715,4715
7954450,Bloody Pastor,93,4519,4705
10593569,Badvok the Bold,0,4558,4558
45238,Frodoo,0,4488,4488
1428445,MarkD1964,0,4426,4426
849603210,TSTT,0,4249,4249
855546281,pForm,0,3877,3877
851598404,-Baba Yaga-,0,3866,3866
11899618,Master A,0,3699,3699
849762034,Diddler,0,3665,3665
853735377,MOMIS,0,3528,3528
850665098,Ellwinara,0,3403,3403
5544177,michealscott123,0,3240,3240
6141929,Carra,0,3225,3225
855031788,Blackcong,0,3181,3181
6730017,Peace.,0,3114,3114
849566070,Aspandiat,0,3061,3061
853774595,Mr Sonic,0,2960,2960
855299275,Thesseuss,0,2884,2884
850518321,alterdestiny,0,2718,2718
849380627,FastGunner,0,2717,2717
853106102,Brad Field of green,0,2638,2638
854882618,CCCC123,0,2635,2635
1436378,Dn4lor,0,2535,2535
11807816,Dpunk,0,2530,2530
851298155,willow324,0,2499,2499
12992719,ChilliBeanz62,0,2397,2397
1891201,edman4444,0,2383,2383
850445151,Swan76,20,2209,2249
854648420,Pollar,0,2227,2227
853520455,Phillip the Fair,0,2107,2107
827787,pywackit,0,2094,2094
5367654,King John of Ambler,0,1929,1929
850331824,Brocksta,0,1892,1892
104779,VITORO,0,1851,1851
11245188,Bernini,0,1804,1804
851616738,MagicI,0,1702,1702
9574867,Salikas,0,1611,1611
849612867,TINY HEROS,0,1589,1589
854719448,ludwig2,0,1572,1572
854719004,soldier00,0,1561,1561
12351572,Cliff59,0,1554,1554
11482655,El Kabong,0,1536,1536
13309306,Ser Arthur Dayne.,2,1501,1505
4765723,djcdjc,0,1486,1486
1148549,mehdialone,0,1429,1429
761097,gareth dragonsbane,0,1425,1425
850307582,Rex Bellator,0,1402,1402
5374197,Pammy Norrie,0,1397,1397
4749897,DutchTheIV,0,1289,1289
1724508,cvetkovic,0,1275,1275
850938639,Green II,0,1254,1254
851585890,SharpSabrina,0,1001,1001
854714000,sixtyodin,0,918,918
854554840,SirRobert Artur,0,878,878
853797540,Odinn,0,792,792
12714764,Jaffa The O,1,679,681
851800597,Meandmyself,0,663,663
852293256,Rolanddd,0,652,652
2465641,=Alpha=Wolf=,0,293,293
