Player_ID,Player,Negotiations,Fights,Total
853257593,Footsoldier,32,6042,6106
12782869,Qi the coconut,0,5598,5598
705849,lasherbob,0,5319,5319
851598404,-Baba Yaga-,0,5244,5244
854681998,Zodman,0,4777,4777
47808,vagelis99,0,4747,4747
851914808,Selene the Blessed 1233,0,4532,4532
849603210,TSTT,0,4424,4424
9795849,Magnus the Terrible 439,310,3696,4316
9762415,0p1ate,0,4313,4313
853735377,MOMIS,0,4236,4236
7954450,Bloody Pastor,79,4056,4214
6730017,Peace.,0,4118,4118
4225910,Hadrian the Intrepid 121,0,4080,4080
45238,Frodoo,0,3856,3856
1428445,MarkD1964,0,3809,3809
849762034,Diddler,0,3547,3547
855747649,Captain Sling,0,3419,3419
853267111,Kuniggsbog,0,3415,3415
11899618,Master A,0,3397,3397
4194345,becop,0,3333,3333
853774595,Mr Sonic,0,3211,3211
853116853,Master Jai,0,3159,3159
851616738,MagicI,0,3116,3116
855031788,Blackcong,0,3115,3115
10593569,Badvok the Bold,0,3057,3057
2277993,Crusaderx,0,3001,3001
8622496,Waynes world1,0,2990,2990
11807816,Dpunk,0,2983,2983
850813028,Cylens,0,2782,2782
851800597,Meandmyself,0,2730,2730
854882618,CCCC123,0,2483,2483
1891201,edman4444,0,2366,2366
853520455,Phillip the Fair,0,2305,2305
850518321,alterdestiny,0,2259,2259
850665098,Ellwinara,0,2216,2216
849612867,TINY HEROS,0,2151,2151
9574867,Salikas,0,2123,2123
4765723,djcdjc,0,2085,2085
851585890,SharpSabrina,0,2044,2044
4749897,DutchTheIV,0,2030,2030
850445151,Swan76,16,1967,1999
855299275,Thesseuss,0,1989,1989
850938639,Green II,0,1979,1979
1148549,mehdialone,0,1968,1968
851298155,willow324,0,1961,1961
1726167,Bendrr,0,1884,1884
827787,pywackit,0,1858,1858
849566070,Aspandiat,0,1783,1783
12992719,ChilliBeanz62,0,1781,1781
5367654,King John of Ambler,0,1762,1762
12714764,Jaffa The O,0,1643,1643
11482655,El Kabong,0,1520,1520
850331824,Brocksta,0,1518,1518
5374197,Pammy Norrie,0,1503,1503
853346321,Moiraine of the Blue,0,1448,1448
13309306,Ser Arthur Dayne.,3,1416,1422
849380627,FastGunner,0,1356,1356
6141929,Carra,0,1327,1327
1436378,Dn4lor,0,1308,1308
854648420,Pollar,0,1298,1298
11245188,Bernini,0,1283,1283
13086826,Alex The Great,0,1270,1270
850307582,Rex Bellator,0,1246,1246
850481022,TRTLC,0,1131,1131
1724508,cvetkovic,0,1122,1122
761097,gareth dragonsbane,0,1068,1068
104779,VITORO,0,1053,1053
854714000,sixtyodin,0,1046,1046
2465641,=Alpha=Wolf=,0,1009,1009
852293256,Rolanddd,0,575,575
