Player_ID,Player,Actions,Progress
10593569,Badvok the Bold,3283700,9330
853267111,Bookbind Snugger,3189100,9070
705849,lasherbob,3087800,8800
12782869,Qi the coconut,3017300,8580
854681998,Zodman,2825900,8050
47808,vagelis99,2708800,7700
5589732,Brave Heart 72,2727800,7570
855031788,Blackcong,2660800,7550
6730017,Peace.,2649100,7540
1436378,Dn4lor,2623400,7450
2277993,Crusaderx,2526600,7170
850518321,alterdestiny,2433300,6910
853257593,Footsoldier,2472600,6830
45238,Frodoo,2287200,6510
6141929,Carra,2222200,6320
4225910,Hadrian the Intrepid 121,2230200,6300
850445151,Swan76,2201100,6250
1428445,MarkD1964,2108500,5970
849612867,TINY HEROS,2092600,5910
849603210,TSTT,2095000,5890
854304476,sidsid,2097600,5810
849566070,Aspandiat,2035900,5770
851914808,Selene the Blessed 1233,1982100,5620
8622496,Waynes world1,1991200,5590
850813028,Cylens,1949700,5530
13309306,Ser Arthur Dayne.,1952500,5480
851894029,Afrodite1,1907400,5410
849380627,FastGunner,1885500,5350
850938639,Green II,1890800,5290
851800597,Meandmyself,1868000,5280
9762415,0p1ate,1818000,5140
2465641,=Alpha=Wolf=,1814500,5140
11807816,Dpunk,1779100,5040
2279421,Warriorpoet,1792000,5010
851616738,MagicI,1755300,4940
11899618,Master A,1741000,4910
4194345,becop,1721600,4890
827787,pywackit,1732700,4850
853520455,Phillip the Fair,1715500,4850
9795849,Magnus the Terrible 439,1715600,4790
850331824,Brocksta,1685000,4730
854648420,Pollar,1655700,4680
851598404,-Baba Yaga-,1611000,4440
5367654,King John of Ambler,1532400,4330
850665098,Ellwinara,1521500,4310
11245188,Bernini,1508900,4280
1891201,edman4444,1535800,4110
12992719,ChilliBeanz62,1473600,4080
4749897,DutchTheIV,1410300,4000
850481022,TRTLC,1395400,3950
855299275,Thesseuss,1406100,3920
1148549,mehdialone,1381600,3830
853116853,Master Jai,1338900,3800
4765723,djcdjc,1292100,3620
851298155,willow324,1310900,3600
850307582,Rex Bellator,1269900,3570
854714000,sixtyodin,1262400,3560
1724508,cvetkovic,1241900,3500
1726167,Bendrr,1055000,2970
853346321,Moiraine of the Blue,1015000,2690
852293256,Rolanddd,880600,2400
853797540,Odinn,856700,2400
11482655,El Kabong,836700,2370
761097,gareth dragonsbane,792500,2250
104779,VITORO,789500,2210
13086826,Alex The Great,739800,2060
849762034,Diddler,665500,1890
853774595,Mr Sonic,662200,1880
5374197,Pammy Norrie,470800,1340
10908871,Meru,267600,730
12714764,Jaffa The O,229000,620
851362281,Diabsian,152700,430
