Player_ID;Player;Actions;Progress
1428445;MarkD1964;1797300;5110
12782869;Qi the coconut;1643800;4680
853267111;Kuniggsbog;1578600;4490
854172183;Gabyb;1554500;4420
6723349;inb0x;1545300;4390
10593569;Badvok the Bold;1491100;4240
12985636;Thea the White 934;1478900;4200
6730017;Peace.;1472500;4190
13086826;Alex The Great;1436800;4090
849566070;Aspandiat;1403100;3990
339141;Mikeytheonly;1399900;3980
851616738;MagicI;1398300;3970
2277993;Crusaderx;1366600;3890
850665098;Ellwinara;1356400;3860
849603210;TSTT;1342100;3810
2279421;Warriorpoet;1337500;3800
2467302;Akita;1336800;3800
705849;lasherbob;1328300;3780
11482655;El Kabong;1329500;3750
7330083;S3xy Beast;1319100;3740
852437505;Rhino8;1296300;3690
854681998;Zodman;1244700;3540
850307582;Rex Bellator;1232900;3510
849260348;Tragach;1229900;3500
11807816;Dpunk;1226000;3480
9762415;0p1ate;1224200;3480
849762034;Diddler;1217500;3460
40674;vfrmark;1215000;3450
6141929;Carra;1208800;3440
1891201;edman4444;1208700;3440
1758550;marco965;1206000;3430
45238;Frodoo;1205600;3430
1436378;Dn4lor;1199100;3410
849612867;TINY HEROS;1193300;3380
851894029;Afrodite1;1193300;3380
5367654;King John of Ambler;1185900;3360
4765723;djcdjc;1163600;3310
827787;pywackit;1161200;3300
11905133;Catacus;1157700;3290
853774595;Mr Sonic;1157200;3290
2465641;=Alpha=Wolf=;1150200;3270
850938639;Green II;1142200;3240
47808;vagelis99;1139600;3240
12213472;Crazy Caveman;1135700;3230
852293256;Rolanddd;1125800;3200
8622496;Waynes world1;1125000;3200
851800597;Meandmyself;1122500;3190
12992719;ChilliBeanz62;1094000;3110
849380627;FastGunner;1086900;3090
850445151;Swan76;1084000;3080
4225910;Hadrian the Intrepid 121;1079500;3070
853520455;Phillip the Fair;1078400;3030
850331824;Brocksta;1063500;3020
11245188;Bernini;1063100;3020
5085500;Tarquinus the Lion 254;1040500;2960
1724508;cvetkovic;965300;2740
9795849;Magnus the Terrible 439;952700;2710
8306456;SCOTTBUL;950000;2700
13309306;Ser Arthur Dayne.;907700;2580
10908871;Meru;883400;2510
851298155;willow324;873700;2480
5374197;Pammy Norrie;873400;2480
1148549;mehdialone;866000;2460
853116853;Master Jai;855700;2430
1704186;Old No 7;839200;2380
850856498;FOE King Great;803100;2280
851549132;Herak;794900;2260
853132263;Joan of Arc 180;784200;2230
4749897;DutchTheIV;746900;2120
104779;VITORO;734100;2080
851362281;Diabsian;698000;1980
4194345;becop;658000;1870
1726167;Bendrr;592600;1680
6451595;kamaika;510400;1450
853797540;Odinn;490200;1370
12714764;Jaffa The O;356900;1010
850813028;Cylens;21200;60
