Player_ID;Player;Actions;Progress
10593569;Badvok the Bold;2051500;5540
851616738;MagicI;1992200;5370
12782869;Qi the coconut;1934700;5220
854681998;Zodman;1894800;5110
2277993;Crusaderx;1827900;4910
705849;lasherbob;1792500;4820
1428445;MarkD1964;1797700;4810
47808;vagelis99;1755300;4710
853267111;Bookbind Snugger;1731400;4640
850813028;Cylens;1728400;4620
1436378;Dn4lor;1632200;4360
850518321;alterdestiny;1628600;4350
851894029;Afrodite1;1621800;4320
849380627;FastGunner;1619500;4320
4225910;Hadrian the Intrepid 121;1613800;4290
2279421;Warriorpoet;1609800;4290
45238;Frodoo;1588900;4230
849612867;TINY HEROS;1587700;4230
850665098;Ellwinara;1584500;4220
2465641;=Alpha=Wolf=;1581900;4200
850331824;Brocksta;1572500;4180
6730017;Peace.;1569100;4180
4194345;becop;1562500;4150
850445151;Swan76;1551400;4110
849603210;TSTT;1536600;4070
849762034;Diddler;1507900;4000
849566070;Aspandiat;1501000;3980
8622496;Waynes world1;1487300;3950
853774595;Mr Sonic;1483400;3930
11807816;Dpunk;1472300;3890
850938639;Green II;1465400;3850
851800597;Meandmyself;1451800;3840
854304476;sidsid;1466700;3830
4765723;djcdjc;1430300;3760
854648420;Pollar;1421800;3740
13309306;Ser Arthur Dayne.;1411300;3710
6141929;Carra;1400500;3700
851914808;Selene the Blessed 1233;1381500;3630
827787;pywackit;1361900;3590
9795849;Magnus the Terrible 439;1351400;3550
9762415;0p1ate;1348900;3550
12992719;ChilliBeanz62;1347700;3530
851598404;Khan Dada;1344700;3500
761097;gareth dragonsbane;1316500;3380
853520455;Phillip the Fair;1264800;3310
5085500;Tarquinus the Lion 254;1255600;3280
11245188;Bernini;1187400;3090
4749897;DutchTheIV;1187100;3080
5374197;Pammy Norrie;1183000;3060
1724508;cvetkovic;1156300;2960
5367654;King John of Ambler;1135600;2940
1891201;edman4444;1128100;2920
851298155;willow324;1129000;2890
1148549;mehdialone;1089300;2810
850307582;Rex Bellator;1040500;2660
851362281;Diabsian;994300;2510
855299275;Thesseuss;973600;2480
621093;THE CHIEF;918500;2330
1726167;Bendrr;893100;2250
853116853;Master Jai;843500;2110
853346321;Moiraine of the Blue;846100;2070
852293256;Rolanddd;814900;2030
11482655;El Kabong;809200;1990
852736395;Lalo-Salamanca;800100;1990
104779;VITORO;729900;1780
11899618;Master A;660900;1590
854829381;Amimizuno;611100;1450
853797540;Odinn;588800;1350
10908871;Meru;519600;1190
13086826;Alex The Great;512100;1170
850481022;TRTLC;401400;1140
12714764;Jaffa The O;152800;150
