Player_ID,Player,Actions,Progress
854719004,soldier00,2492500,7100
705849,lasherbob,2475600,7060
853267111,Kuniggsbog,2397300,6840
855031788,Blackcong,2136500,6090
849566070,Aspandiat,2083300,5920
10593569,Badvok the Bold,2048500,5840
1891201,edman4444,2048200,5830
2277993,Crusaderx,1947200,5540
854681998,Zodman,1938900,5520
1436378,Dn4lor,1908900,5440
6141929,Carra,1754500,4990
4225910,Hadrian the Intrepid 121,1746700,4970
851616738,MagicI,1718100,4880
1758550,marco965,1686100,4800
849603210,TSTT,1617600,4590
11442171,High Lord Timbum,1599000,4540
45238,Frodoo,1582100,4500
11807816,Dpunk,1566000,4450
850307582,Rex Bellator,1532400,4350
5367654,King John of Ambler,1516200,4290
850445151,Swan76,1511700,4290
854719448,ludwig2,1508300,4250
11899618,Master A,1495600,4250
11245188,Bernini,1494900,4250
853735377,MOMIS,1480900,4210
851914808,Selene the Blessed 1233,1479700,4210
104779,VITORO,1465300,4160
9762415,0p1ate,1459100,4150
855546281,pForm,1455700,4140
850518321,alterdestiny,1446600,4100
8622496,Waynes world1,1425700,4060
3556826,peri1,1419600,4040
1724508,cvetkovic,1410300,4010
827787,pywackit,1391100,3960
849380627,FastGunner,1384100,3940
761097,gareth dragonsbane,1382600,3930
5374197,Pammy Norrie,1379100,3920
853659232,friendly,1391800,3900
851598404,-Baba Yaga-,1346100,3820
852293256,Rolanddd,1328600,3780
851298155,willow324,1327100,3740
5544177,michealscott123,1314800,3730
854882618,CCCC123,1308300,3720
850331824,Brocksta,1294700,3680
9574867,Salikas,1265400,3600
12992719,ChilliBeanz62,1262800,3590
13309306,Ser Arthur Dayne.,1262400,3580
853797540,Odinn,1291300,3570
9795849,Magnus the Terrible 439,1251600,3560
851800597,Meandmyself,1241400,3530
12351572,Cliff59,1229400,3490
11482655,El Kabong,1225100,3450
2465641,=Alpha=Wolf=,1214600,3450
853520455,Phillip the Fair,1211500,3440
854554840,SirRobert Artur,1170100,3290
849612867,TINY HEROS,1126100,3200
12685645,Brudzilla,1129300,3190
4749897,DutchTheIV,1122000,3190
4194345,becop,1109700,3160
1148549,mehdialone,1090800,3100
854648420,Pollar,1002000,2840
853109616,VixenQueen,981200,2740
850665098,Ellwinara,890000,2530
851585890,SharpSabrina,848700,2410
853106102,Brad Field of green,340400,970
854714000,sixtyodin,263800,740
