Player_ID;Player;Actions;Progress
12782869;Qi the coconut;3359300;9570
10593569;Badvok the Bold;2955100;8360
1428445;MarkD1964;2867600;8120
6723349;inb0x;2821200;8010
854172183;Gabyb;2694000;7660
6730017;Peace.;2513200;7150
1891201;edman4444;2398400;6820
13086826;Alex The Great;2369100;6730
12985636;Thea the White 934;2348700;6660
705849;lasherbob;2291500;6520
11905133;Catacus;2295600;6490
40674;vfrmark;2265200;6440
6141929;Carra;2255000;6350
2277993;Crusaderx;2234200;6340
853267111;Kuniggsbog;2209700;6270
10908871;Meru;2198500;6210
851616738;MagicI;2203300;6130
1436378;Dn4lor;2150800;6100
850331824;Brocksta;2144700;5990
852293256;Rolanddd;2129300;5970
4194345;becop;2097800;5960
854681998;Zodman;2091500;5930
47808;vagelis99;2092700;5910
852392307;Kain the Bloodthirsty;2071800;5880
850813028;Cylens;2067600;5830
849603210;TSTT;2059800;5800
849260348;Tragach;2041900;5790
10040909;Princess Fibird;2035000;5760
11807816;Dpunk;2020900;5740
849380627;FastGunner;2049600;5720
12213472;Crazy Caveman;2014900;5720
850307582;Rex Bellator;2005400;5680
849762034;Diddler;1975700;5620
850665098;Ellwinara;1972000;5600
851800597;Meandmyself;1942600;5490
849566070;Aspandiat;1937600;5450
1758550;marco965;1911900;5410
9762415;0p1ate;1902900;5410
4765723;djcdjc;1903000;5370
4225910;Hadrian the Intrepid 121;1899100;5330
45238;Frodoo;1876300;5320
849612867;TINY HEROS;1887800;5260
5367654;King John of Ambler;1844400;5220
7330083;S3xy Beast;1833600;5120
854234220;Neesik;1768600;5010
851362281;Diabsian;1782300;4990
853774595;Mr Sonic;1751200;4980
5374197;Pammy Norrie;1735400;4920
8622496;Waynes world1;1771700;4870
11482655;El Kabong;1752900;4870
11245188;Bernini;1747600;4860
850938639;Green II;1729000;4860
827787;pywackit;1706300;4820
9795849;Magnus the Terrible 439;1658200;4650
851894029;Afrodite1;1638200;4650
850676665;Vindicare;1608900;4570
12992719;ChilliBeanz62;1613700;4530
2465641;=Alpha=Wolf=;1591700;4510
8306456;SCOTTBUL;1563300;4410
13309306;Ser Arthur Dayne.;1532800;4300
2157644;Ebdonp;1530500;4280
851298155;willow324;1503000;4230
5085500;Tarquinus the Lion 254;1456400;4140
851598404;Khan Dada;1440800;4060
1704186;Old No 7;1443400;4000
853116853;Master Jai;1350900;3840
4749897;DutchTheIV;1345600;3810
339141;Mikeytheonly;1377700;3800
850445151;Swan76;1372300;3800
1724508;cvetkovic;1316500;3710
1148549;mehdialone;1312500;3670
104779;VITORO;1282900;3630
851549132;Herak;1228000;3410
6451595;kamaika;1173600;3250
850856498;FOE King Great;1056400;2990
12714764;Jaffa The O;699800;1960
2467302;Akita;720700;1940
1726167;Bendrr;657600;1850
