Player_ID;Player;Actions;Progress
705849;lasherbob;3835300;10930
855031788;Blackcong;3500100;9970
853267111;Bookbind Snugger;3474300;9900
10593569;Badvok the Bold;3197700;9100
854719004;soldier00;3066400;8730
854681998;Zodman;2987900;8500
6730017;Peace.;2965400;8440
2277993;Crusaderx;2860500;8110
849566070;Aspandiat;2813700;8000
853257593;Footsoldier;2713900;7670
1436378;Dn4lor;2714400;7660
1891201;edman4444;2687600;7600
6141929;Carra;2608400;7410
12782869;Qi the coconut;2523800;7160
851914808;Selene the Blessed 1233;2519400;7140
854719448;ludwig2;2508900;7110
1758550;marco965;2489500;7090
4194345;becop;2436200;6930
45238;Frodoo;2406200;6830
4225910;Hadrian the Intrepid 121;2395200;6810
855546281;pForm;2308200;6550
850518321;alterdestiny;2297600;6540
850665098;Ellwinara;2302700;6530
9762415;0p1ate;2299600;6510
854882618;CCCC123;2258300;6400
11807816;Dpunk;2269000;6370
855299275;Thesseuss;2179600;6160
5367654;King John of Ambler;2121000;6010
8622496;Waynes world1;2064800;5880
849612867;TINY HEROS;2046800;5820
850445151;Swan76;2039500;5800
850307582;Rex Bellator;2035300;5770
849603210;TSTT;2025100;5730
11899618;Master A;2010200;5660
851616738;MagicI;1975400;5600
853735377;MOMIS;1974700;5600
5374197;Pammy Norrie;1906100;5390
851598404;-Baba Yaga-;1881000;5320
104779;VITORO;1890100;5310
11245188;Bernini;1858000;5280
827787;pywackit;1860200;5270
761097;gareth dragonsbane;1848500;5240
853520455;Phillip the Fair;1836000;5180
13309306;Ser Arthur Dayne.;1822800;5160
12992719;ChilliBeanz62;1824500;5150
849380627;FastGunner;1804500;5130
853106102;Brad Field of green;1763100;4950
9795849;Magnus the Terrible 439;1723400;4890
851800597;Meandmyself;1696200;4820
850331824;Brocksta;1693100;4800
2465641;=Alpha=Wolf=;1681100;4780
852293256;Rolanddd;1680300;4720
854554840;SirRobert Artur;1665800;4720
12351572;Cliff59;1652200;4690
1724508;cvetkovic;1653700;4680
851298155;willow324;1648800;4620
11482655;El Kabong;1652200;4510
9574867;Salikas;1579900;4480
853797540;Odinn;1575800;4390
4765723;djcdjc;1424800;3970
854648420;Pollar;1398200;3870
4749897;DutchTheIV;1264400;3590
851585890;SharpSabrina;1098900;3120
5544177;michealscott123;938000;2610
849762034;Diddler;548100;1560
853774595;Mr Sonic;513200;1460
854714000;sixtyodin;505300;1380
850938639;Green II;165200;470
12714764;Jaffa The O;145200;370
1148549;mehdialone;49600;140
