Player_ID;Player;Actions;Progress
10537728;simon1976;2812800;8010
12782869;Qi the coconut;2227800;6330
6723349;inb0x;1892700;5360
10593569;Badvok the Bold;1850900;5260
851616738;MagicI;1826300;5180
47808;vagelis99;1798500;5120
6730017;Peace.;1771100;5040
1891201;edman4444;1749500;4980
854681998;Zodman;1740000;4950
1428445;MarkD1964;1687900;4780
850665098;Ellwinara;1659900;4700
2277993;Crusaderx;1640700;4660
705849;lasherbob;1622700;4620
849612867;TINY HEROS;1599600;4550
853267111;Kuniggsbog;1592200;4530
850518321;alterdestiny;1587600;4500
5367654;King John of Ambler;1582800;4470
850813028;Cylens;1541500;4380
849603210;TSTT;1536500;4350
1436378;Dn4lor;1492700;4240
8622496;Waynes world1;1461900;4160
849566070;Aspandiat;1457300;4140
13086826;Alex The Great;1455900;4140
849380627;FastGunner;1450000;4120
2279421;Warriorpoet;1454200;4110
45238;Frodoo;1434600;4080
849762034;Diddler;1424800;4050
853774595;Mr Sonic;1421700;4040
854304476;sidsid;1434900;4030
4194345;becop;1413900;4020
853132263;Lone Sloane 66;1408300;3990
7330083;S3xy Beast;1401700;3960
850938639;Green II;1378800;3920
11807816;Dpunk;1379200;3910
4225910;Hadrian the Intrepid 121;1375200;3900
850445151;Swan76;1367700;3880
6141929;Carra;1366800;3880
851800597;Meandmyself;1359500;3860
851894029;Afrodite1;1358100;3860
850331824;Brocksta;1340100;3800
854172183;GabyBB;1330900;3770
853520455;Phillip the Fair;1326300;3770
12213472;Crazy Caveman;1311500;3720
827787;pywackit;1308100;3720
4765723;djcdjc;1285800;3650
851914808;Selene the Blessed 1233;1284100;3650
9762415;0p1ate;1272400;3610
12992719;ChilliBeanz62;1271600;3610
850481022;TRTLC;1269500;3600
854648420;Pollar;1260600;3570
2465641;=Alpha=Wolf=;1244100;3530
5085500;Tarquinus the Lion 254;1242900;3530
851298155;willow324;1234000;3490
4749897;DutchTheIV;1226300;3480
850307582;Rex Bellator;1199900;3410
339141;Mikeytheonly;1188900;3380
5374197;Pammy Norrie;1188800;3370
851598404;Khan Dada;1178900;3330
9795849;Magnus the Terrible 439;1159200;3290
11245188;Bernini;1137400;3230
1724508;cvetkovic;1134300;3210
1148549;mehdialone;1053200;2980
852293256;Rolanddd;1004200;2850
853346321;Moiraine of the Blue;1012800;2800
849068862;Ken*;915500;2560
13309306;Ser Arthur Dayne.;899000;2550
12714764;Jaffa The O;837200;2370
761097;gareth dragonsbane;782600;2220
852736395;Lalo-Salamanca;740900;2090
851362281;Diabsian;672900;1900
104779;VITORO;633900;1790
853797540;Odinn;598000;1690
853116853;Master Jai;553300;1570
10908871;Meru;522200;1480
621093;THE CHIEF;519700;1480
851549132;Herak;337700;940
11482655;El Kabong;328000;910
