Player_ID,Player,Actions,Progress
705849,lasherbob,2666300,7600
855031788,Blackcong,2281200,6500
853267111,Kuniggsbog,2215100,6300
854719004,soldier00,2209300,6290
10593569,Badvok the Bold,2178400,6200
849566070,Aspandiat,2079300,5920
854681998,Zodman,2036300,5800
2277993,Crusaderx,2008000,5710
1891201,edman4444,1983800,5640
47808,vagelis99,1975000,5620
12782869,Qi the coconut,1971800,5610
1758550,marco965,1927800,5490
851914808,Selene the Blessed 1233,1925500,5480
853257593,Footsoldier,1923100,5450
6730017,Peace.,1862700,5300
1436378,Dn4lor,1836800,5230
850665098,Ellwinara,1812800,5140
1428445,MarkD1964,1782100,5060
855546281,pForm,1781400,5060
850518321,alterdestiny,1770600,5040
855299275,Thesseuss,1736100,4940
849762034,Diddler,1709100,4860
4225910,Hadrian the Intrepid 121,1703000,4840
853774595,Mr Sonic,1701500,4840
11807816,Dpunk,1665500,4720
45238,Frodoo,1649100,4680
851598404,-Baba Yaga-,1622900,4610
850445151,Swan76,1602700,4560
7954450,Bloody Pastor,1595300,4540
827787,pywackit,1594900,4540
5367654,King John of Ambler,1588300,4510
849603210,TSTT,1578500,4470
850938639,Green II,1540300,4380
849612867,TINY HEROS,1538100,4370
8622496,Waynes world1,1535400,4370
9762415,0p1ate,1531000,4350
13309306,Ser Arthur Dayne.,1517400,4310
854719448,ludwig2,1515700,4310
5374197,Pammy Norrie,1498200,4260
6141929,Carra,1469700,4180
11899618,Master A,1464600,4160
5544177,michealscott123,1459900,4120
4194345,becop,1443200,4100
4765723,djcdjc,1414800,4020
11245188,Bernini,1392900,3960
4749897,DutchTheIV,1388300,3940
2465641,=Alpha=Wolf=,1387200,3930
12992719,ChilliBeanz62,1358800,3860
853735377,MOMIS,1356200,3850
849380627,FastGunner,1354400,3850
851800597,Meandmyself,1340800,3810
853520455,Phillip the Fair,1330500,3760
851616738,MagicI,1324200,3760
9795849,Magnus the Terrible 439,1305400,3710
852293256,Rolanddd,1291900,3670
854648420,Pollar,1291900,3670
850307582,Rex Bellator,1281000,3610
853116853,Master Jai,1266400,3600
851298155,willow324,1257900,3570
854554840,SirRobert Artur,1249600,3550
1148549,mehdialone,1241100,3520
850331824,Brocksta,1209400,3430
1724508,cvetkovic,1151300,3250
9574867,Salikas,1119600,3180
104779,VITORO,1125900,3160
761097,gareth dragonsbane,1083800,3060
854882618,CCCC123,891800,2540
850481022,TRTLC,897800,2530
851585890,SharpSabrina,800300,2240
11482655,El Kabong,781700,2190
854714000,sixtyodin,533300,1510
12714764,Jaffa The O,131900,370
