Player_ID;Player;Actions;Progress
705849;lasherbob;2730400;7780
853267111;Bookbind Snugger;2495200;7110
10593569;Badvok the Bold;2097700;5970
2277993;Crusaderx;2070300;5890
6730017;Peace.;2055300;5850
47808;vagelis99;2036500;5800
854719004;soldier00;2013700;5720
854681998;Zodman;1959300;5580
1428445;MarkD1964;1805100;5120
1758550;marco965;1791300;5100
13086826;Alex The Great;1788600;5090
850665098;Ellwinara;1776900;5040
1436378;Dn4lor;1735300;4930
12782869;Qi the coconut;1727200;4910
45238;Frodoo;1678500;4770
853257593;Footsoldier;1662900;4710
849566070;Aspandiat;1658400;4710
851914808;Selene the Blessed 1233;1638500;4660
855747649;Captain Sling;1632100;4640
9762415;0p1ate;1614200;4580
854882618;CCCC123;1599300;4550
850518321;alterdestiny;1598800;4550
4225910;Hadrian the Intrepid 121;1599500;4540
849612867;TINY HEROS;1592500;4530
5367654;King John of Ambler;1564900;4440
13309306;Ser Arthur Dayne.;1562700;4440
11807816;Dpunk;1573400;4430
853774595;Mr Sonic;1550400;4410
849762034;Diddler;1543500;4390
855031788;Blackcong;1539400;4370
849603210;TSTT;1541900;4350
827787;pywackit;1511700;4290
850445151;Swan76;1494900;4250
855299275;Thesseuss;1487900;4230
7954450;Bloody Pastor;1476500;4200
6141929;Carra;1468200;4170
851598404;Khan Dada;1456400;4130
853735377;MOMIS;1436200;4070
12992719;ChilliBeanz62;1433800;4070
850307582;Rex Bellator;1428500;4050
4194345;becop;1421700;4040
850938639;Green II;1417400;4030
849380627;FastGunner;1414100;4020
8622496;Waynes world1;1387900;3950
11899618;Master A;1375500;3910
5374197;Pammy Norrie;1371700;3890
851616738;MagicI;1363400;3860
2465641;=Alpha=Wolf=;1357500;3860
851800597;Meandmyself;1356700;3850
9795849;Magnus the Terrible 439;1314100;3730
4765723;djcdjc;1295300;3680
4749897;DutchTheIV;1290500;3660
850331824;Brocksta;1283500;3650
853520455;Phillip the Fair;1274400;3600
854648420;Pollar;1251600;3520
852293256;Rolanddd;1236300;3470
1148549;mehdialone;1172200;3330
1724508;cvetkovic;1177000;3310
851298155;willow324;1165500;3310
761097;gareth dragonsbane;1131000;3180
1891201;edman4444;1112700;3150
9574867;Salikas;1087600;3070
851585890;SharpSabrina;1081300;3070
11245188;Bernini;1015100;2870
11482655;El Kabong;1007000;2850
104779;VITORO;1000600;2820
850481022;TRTLC;990900;2800
1726167;Bendrr;987300;2800
854714000;sixtyodin;945200;2600
850813028;Cylens;908400;2580
853346321;Moiraine of the Blue;923800;2570
853116853;Master Jai;734000;2080
12714764;Jaffa The O;238100;670
