Player_ID;Player;Actions;Progress
12782869;Qi the coconut;2018500;5740
853267111;Kuniggsbog;1746000;4960
851616738;MagicI;1701100;4830
10593569;Badvok the Bold;1691500;4810
2277993;Crusaderx;1676200;4760
13086826;Alex The Great;1656100;4710
850307582;Rex Bellator;1635600;4650
1428445;MarkD1964;1616000;4590
854681998;Zodman;1599000;4550
6730017;Peace.;1563700;4450
47808;vagelis99;1564000;4440
2279421;Warriorpoet;1552700;4400
705849;lasherbob;1541000;4390
850665098;Ellwinara;1552700;4380
339141;Mikeytheonly;1514900;4310
849762034;Diddler;1498300;4260
850813028;Cylens;1461000;4150
849603210;TSTT;1431900;4050
849566070;Aspandiat;1419600;4040
1436378;Dn4lor;1419900;4030
45238;Frodoo;1416700;4030
850445151;Swan76;1402200;3980
4194345;becop;1401800;3980
850518321;alterdestiny;1400100;3980
853774595;Mr Sonic;1390400;3950
851800597;Meandmyself;1386700;3930
849380627;FastGunner;1380200;3920
8622496;Waynes world1;1376800;3910
2465641;=Alpha=Wolf=;1357100;3850
11807816;Dpunk;1355600;3830
854172183;GabyBB;1350200;3830
9762415;0p1ate;1346200;3830
10908871;Meru;1299600;3690
4225910;Hadrian the Intrepid 121;1292200;3670
827787;pywackit;1287100;3660
851914808;Selene the Blessed 1233;1288500;3650
12213472;Crazy Caveman;1287300;3650
850938639;Green II;1286300;3640
1148549;mehdialone;1265700;3580
9795849;Magnus the Terrible 439;1249900;3550
1891201;edman4444;1243900;3540
851598404;Khan Dada;1245600;3520
849612867;TINY HEROS;1238800;3520
851894029;Afrodite1;1229600;3490
6141929;Carra;1225000;3480
12992719;ChilliBeanz62;1207100;3430
853520455;Phillip the Fair;1213700;3420
854304476;sidsid;1206100;3380
852162955;Sean the Unsteady;1187900;3360
5367654;King John of Ambler;1184800;3360
852437505;Rhino8;1184400;3360
5374197;Pammy Norrie;1181100;3350
6723349;inb0x;1168400;3310
5085500;Tarquinus the Lion 254;1141800;3240
4765723;djcdjc;1123200;3190
852293256;Rolanddd;1113200;3130
7330083;S3xy Beast;1103100;3120
851298155;willow324;1079100;3060
853346321;Moiraine of the Blue;1066100;2980
1724508;cvetkovic;1008600;2860
40674;vfrmark;986600;2800
4749897;DutchTheIV;955100;2710
13309306;Ser Arthur Dayne.;953100;2700
853132263;Lone Sloane 66;944900;2680
11245188;Bernini;871800;2450
851549132;Herak;891200;2370
1726167;Bendrr;831300;2360
6451595;kamaika;753900;2140
621093;THE CHIEF;742500;2110
11482655;El Kabong;739600;2100
10040909;Princess Fibird;676900;1920
853116853;Master Jai;666100;1890
853797540;Odinn;656000;1840
761097;gareth dragonsbane;633300;1800
104779;VITORO;596700;1680
1704186;Old No 7;378800;1070
12714764;Jaffa The O;375300;1060
851362281;Diabsian;152200;430
