Player_ID,Player,Actions,Progress
12782869,Qi the coconut,2099800,5980
6730017,Peace.,1929200,5480
10593569,Badvok the Bold,1827100,5200
854172183,Gabyb,1807300,5140
853267111,Kuniggsbog,1802600,5130
6723349,inb0x,1792000,5090
1428445,MarkD1964,1791800,5090
12985636,Thea the White 934,1724300,4900
2277993,Crusaderx,1717300,4890
11905133,Catacus,1616800,4600
13086826,Alex The Great,1609800,4580
705849,lasherbob,1556600,4430
852437505,Rhino8,1536000,4360
849260348,Tragach,1490500,4240
5367654,King John of Ambler,1488900,4230
849603210,TSTT,1488000,4220
849566070,Aspandiat,1480400,4210
850665098,Ellwinara,1491800,4200
339141,Mikeytheonly,1474400,4190
849612867,TINY HEROS,1459300,4140
850307582,Rex Bellator,1444600,4110
854681998,Zodman,1444700,4100
827787,pywackit,1421200,4040
40674,vfrmark,1413300,4020
1436378,Dn4lor,1409200,4010
47808,vagelis99,1408700,4000
45238,Frodoo,1399800,3980
11807816,Dpunk,1394900,3960
4194345,becop,1389900,3950
9762415,0p1ate,1380000,3920
851616738,MagicI,1379800,3920
1758550,marco965,1377400,3920
849762034,Diddler,1368100,3890
4765723,djcdjc,1360000,3870
852293256,Rolanddd,1355600,3850
7330083,S3xy Beast,1339500,3790
853774595,Mr Sonic,1329400,3780
854234220,Neesik,1319800,3750
5085500,Tarquinus the Lion 254,1311500,3720
849380627,FastGunner,1308200,3720
851800597,Meandmyself,1305400,3710
4225910,Hadrian the Intrepid 121,1301500,3700
8622496,Waynes world1,1293800,3680
1891201,edman4444,1293300,3680
6141929,Carra,1289700,3670
13309306,Ser Arthur Dayne.,1280800,3640
12213472,Crazy Caveman,1275700,3630
12992719,ChilliBeanz62,1269200,3610
850813028,Cylens,1266600,3600
2465641,=Alpha=Wolf=,1264500,3590
850938639,Green II,1264700,3580
851894029,Afrodite1,1256000,3570
1704186,Old No 7,1253500,3560
850331824,Brocksta,1248800,3550
850445151,Swan76,1222100,3470
10908871,Meru,1202700,3420
11482655,El Kabong,1195400,3390
8306456,SCOTTBUL,1185600,3340
9795849,Magnus the Terrible 439,1174000,3340
851362281,Diabsian,1166300,3310
850676665,Vindicare,1126600,3200
851298155,willow324,1118300,3180
11245188,Bernini,1111800,3160
1148549,mehdialone,1094700,3080
2467302,Akita,1025000,2900
104779,VITORO,1011700,2860
1724508,cvetkovic,965700,2740
5374197,Pammy Norrie,951200,2700
850856498,FOE King Great,876700,2480
4749897,DutchTheIV,852800,2420
851549132,Herak,842600,2340
853116853,Master Jai,796300,2260
6451595,kamaika,765000,2160
852017836,Valerian the Bold 993,587400,1670
12714764,Jaffa The O,489400,1370
1726167,Bendrr,413700,1170
