Player_ID,Player,Actions,Progress
705849,lasherbob,4025200,11480
853267111,Kuniggsbog,3963700,11300
855031788,Blackcong,3532100,10040
10593569,Badvok the Bold,3522700,10040
854719004,soldier00,3272100,9320
854681998,Zodman,3243800,9230
849566070,Aspandiat,2954700,8370
1891201,edman4444,2932700,8250
2277993,Crusaderx,2859700,8120
6730017,Peace.,2814100,8010
1436378,Dn4lor,2830200,7950
4194345,becop,2638300,7510
854719448,ludwig2,2645000,7490
6141929,Carra,2630900,7430
851914808,Selene the Blessed 1233,2501700,7100
4225910,Hadrian the Intrepid 121,2477600,7040
1758550,marco965,2458400,6980
855299275,Thesseuss,2460400,6920
855546281,pForm,2362200,6720
11807816,Dpunk,2347400,6660
850665098,Ellwinara,2338300,6650
9762415,0p1ate,2329800,6630
45238,Frodoo,2314400,6580
12782869,Qi the coconut,2313300,6540
851616738,MagicI,2221900,6270
850518321,alterdestiny,2149700,6100
849603210,TSTT,2097100,5950
850307582,Rex Bellator,2087800,5930
849612867,TINY HEROS,2083300,5920
853735377,MOMIS,2044900,5810
11245188,Bernini,2043600,5810
5367654,King John of Ambler,2069800,5800
4749897,DutchTheIV,2031900,5780
827787,pywackit,2018700,5740
850445151,Swan76,2015500,5730
8622496,Waynes world1,2003200,5710
851598404,-Baba Yaga-,2003300,5670
104779,VITORO,1953800,5520
11899618,Master A,1876500,5310
849380627,FastGunner,1865500,5310
851800597,Meandmyself,1815500,5160
853659232,friendly,1825000,5140
12351572,Cliff59,1789900,5060
13309306,Ser Arthur Dayne.,1783300,5050
5374197,Pammy Norrie,1763300,5010
853520455,Phillip the Fair,1762000,4960
853797540,Odinn,1779900,4870
9795849,Magnus the Terrible 439,1705600,4850
12992719,ChilliBeanz62,1713900,4840
1724508,cvetkovic,1699900,4810
5544177,michealscott123,1678200,4750
850331824,Brocksta,1660400,4720
2465641,=Alpha=Wolf=,1645800,4680
1148549,mehdialone,1632700,4640
851298155,willow324,1618200,4560
854554840,SirRobert Artur,1604900,4540
853106102,Brad Field of green,1592900,4450
9574867,Salikas,1557700,4430
852293256,Rolanddd,1574000,4410
854882618,CCCC123,1507400,4280
11482655,El Kabong,1437500,3940
851585890,SharpSabrina,1383200,3930
854648420,Pollar,1368400,3860
761097,gareth dragonsbane,859500,2350
854714000,sixtyodin,784700,2170
