Player_ID;Player;Actions;Progress
705849;lasherbob;4564100;12980
853267111;Bookbind Snugger;3877500;11030
10593569;Badvok the Bold;3743200;10660
855031788;Blackcong;3593900;10230
854719004;soldier00;3593000;10180
2277993;Crusaderx;3528300;10040
854681998;Zodman;3527600;10040
47808;vagelis99;3173900;9020
853257593;Footsoldier;3129600;8810
855546281;pForm;3037700;8610
6141929;Carra;3019300;8590
851914808;Selene the Blessed 1233;3019100;8590
6730017;Peace.;2962900;8430
1436378;Dn4lor;2944700;8390
1758550;marco965;2794400;7880
855299275;Thesseuss;2733600;7620
9762415;0p1ate;2668200;7590
12782869;Qi the coconut;2635000;7500
850665098;Ellwinara;2579600;7320
4225910;Hadrian the Intrepid 121;2540000;7220
850518321;alterdestiny;2489200;7080
45238;Frodoo;2460000;6990
7954450;Bloody Pastor;2410000;6860
849762034;Diddler;2361400;6720
851598404;Khan Dada;2350900;6680
849566070;Aspandiat;2360500;6670
853774595;Mr Sonic;2299600;6540
1428445;MarkD1964;2298500;6500
13309306;Ser Arthur Dayne.;2225200;6320
851616738;MagicI;2205200;6200
854882618;CCCC123;2148100;6110
849603210;TSTT;2112400;5950
849612867;TINY HEROS;2081900;5920
827787;pywackit;2083000;5880
850445151;Swan76;2064100;5870
5374197;Pammy Norrie;2041500;5800
8622496;Waynes world1;2027900;5770
851800597;Meandmyself;2040400;5740
4194345;becop;2022900;5740
12992719;ChilliBeanz62;2018000;5740
850938639;Green II;1983400;5630
5367654;King John of Ambler;1973100;5580
11899618;Master A;1958600;5550
1891201;edman4444;1948600;5510
853735377;MOMIS;1901400;5400
4749897;DutchTheIV;1891900;5370
11807816;Dpunk;1886800;5340
849380627;FastGunner;1878400;5340
853197494;DaFunkyMonkey;1865700;5270
4765723;djcdjc;1793300;5070
853520455;Phillip the Fair;1786600;5050
1148549;mehdialone;1750300;4960
850331824;Brocksta;1697300;4820
852293256;Rolanddd;1725800;4790
9795849;Magnus the Terrible 439;1622300;4590
104779;VITORO;1626200;4560
854648420;Pollar;1577400;4440
851585890;SharpSabrina;1564800;4390
854554840;SirRobert Artur;1552700;4370
851298155;willow324;1511700;4290
2465641;=Alpha=Wolf=;1465100;4160
850307582;Rex Bellator;1426800;4040
9574867;Salikas;1412100;4000
850481022;TRTLC;1430000;3980
854714000;sixtyodin;1405700;3910
11245188;Bernini;1237100;3510
1724508;cvetkovic;1230500;3450
1726167;Bendrr;1202400;3410
11482655;El Kabong;1224200;3390
853116853;Master Jai;805700;2240
761097;gareth dragonsbane;338500;870
12714764;Jaffa The O;268500;720
