Player_ID,Player,Actions,Progress
12782869,Qi the coconut,1929200,5490
6730017,Peace.,1764800,5020
10593569,Badvok the Bold,1738200,4940
851616738,MagicI,1707200,4830
850665098,Ellwinara,1655800,4700
2277993,Crusaderx,1637100,4650
705849,lasherbob,1582500,4510
47808,vagelis99,1582000,4500
1428445,MarkD1964,1561400,4430
854681998,Zodman,1556700,4430
5367654,King John of Ambler,1528300,4320
1436378,Dn4lor,1508200,4280
850307582,Rex Bellator,1507400,4280
850813028,Cylens,1501400,4270
849612867,TINY HEROS,1493400,4240
2279421,Warriorpoet,1478400,4200
849566070,Aspandiat,1437700,4080
849603210,TSTT,1425400,4040
1891201,edman4444,1419600,4040
10040909,Princess Fibird,1411400,4010
13086826,Alex The Great,1410300,4010
853267111,Kuniggsbog,1407500,3990
849762034,Diddler,1398100,3970
853774595,Mr Sonic,1394300,3960
339141,Mikeytheonly,1392600,3960
853132263,Lone Sloane 66,1394300,3950
850445151,Swan76,1389600,3940
8622496,Waynes world1,1379900,3910
45238,Frodoo,1368400,3890
11807816,Dpunk,1353100,3840
9762415,0p1ate,1343000,3820
827787,pywackit,1339800,3800
850518321,alterdestiny,1329700,3780
4194345,becop,1324000,3760
5374197,Pammy Norrie,1323600,3760
7330083,S3xy Beast,1320500,3750
850331824,Brocksta,1319100,3750
12213472,Crazy Caveman,1315200,3720
850938639,Green II,1314700,3710
851800597,Meandmyself,1305900,3710
4225910,Hadrian the Intrepid 121,1292000,3670
6723349,inb0x,1285200,3650
851598404,-Baba Yaga-,1289300,3620
851914808,Selene the Blessed 1233,1275500,3610
12992719,ChilliBeanz62,1259200,3580
2465641,=Alpha=Wolf=,1262200,3570
849380627,FastGunner,1253500,3560
854304476,sidsid,1242500,3520
851894029,Afrodite1,1231000,3500
853520455,Phillip the Fair,1221600,3420
9795849,Magnus the Terrible 439,1197200,3400
854172183,GabyBB,1189600,3370
4765723,djcdjc,1161500,3290
5085500,Tarquinus the Lion 254,1116500,3170
11482655,El Kabong,1127400,3160
1148549,mehdialone,1112400,3160
853116853,Master Jai,1084600,3080
13309306,Ser Arthur Dayne.,1056200,3000
851298155,willow324,1058200,2990
10908871,Meru,1035900,2940
6141929,Carra,991500,2820
6451595,kamaika,954600,2710
851549132,Herak,950100,2570
11245188,Bernini,889900,2510
4749897,DutchTheIV,860900,2440
621093,THE CHIEF,790400,2250
853346321,Moiraine of the Blue,758800,2140
1724508,cvetkovic,751000,2130
852293256,Rolanddd,736300,2080
104779,VITORO,607100,1720
761097,gareth dragonsbane,563300,1600
851362281,Diabsian,427300,1200
853797540,Odinn,412200,1170
852437505,Rhino8,362600,1020
1726167,Bendrr,315300,890
12714764,Jaffa The O,316500,880
