Player_ID,Player,Actions,Progress
705849,lasherbob,2596700,7400
10593569,Badvok the Bold,2286500,6500
1428445,MarkD1964,2165500,6150
853267111,Kuniggsbog,2117200,6030
2277993,Crusaderx,2078800,5910
6730017,Peace.,2075600,5910
12782869,Qi the coconut,2039700,5800
854681998,Zodman,2029800,5780
47808,vagelis99,2001800,5700
853257593,Footsoldier,1948200,5480
13086826,Alex The Great,1919100,5460
5589732,Brave Heart 72,1916200,5450
855747649,sling,1913100,5420
850665098,Ellwinara,1848100,5250
855031788,Blackcong,1826500,5200
1436378,Dn4lor,1805900,5140
45238,Frodoo,1736900,4930
849612867,TINY HEROS,1701400,4840
851914808,Selene the Blessed 1233,1673800,4760
850518321,alterdestiny,1668800,4750
849566070,Aspandiat,1659700,4710
9762415,0p1ate,1589200,4510
851894029,Afrodite1,1569300,4460
849762034,Diddler,1549800,4400
8622496,Waynes world1,1535900,4370
853774595,Mr Sonic,1534700,4360
11899618,Master A,1536600,4350
851598404,-Baba Yaga-,1535100,4350
850938639,Green II,1522400,4330
849603210,TSTT,1522200,4270
850445151,Swan76,1477900,4200
7954450,Bloody Pastor,1477100,4200
850307582,Rex Bellator,1473600,4170
4225910,Hadrian the Intrepid 121,1461300,4150
11807816,Dpunk,1458300,4140
853735377,MOMIS,1448300,4100
854882618,CCCC123,1417200,4030
827787,pywackit,1412800,4020
851800597,Meandmyself,1407300,4000
4194345,becop,1403600,3990
5367654,King John of Ambler,1380300,3910
2465641,=Alpha=Wolf=,1336800,3800
11245188,Bernini,1308600,3710
855299275,Thesseuss,1321100,3670
849380627,FastGunner,1262800,3590
853520455,Phillip the Fair,1263900,3580
854648420,Pollar,1243100,3530
4749897,DutchTheIV,1242000,3520
13309306,Ser Arthur Dayne.,1236300,3500
9574867,Salikas,1206400,3410
5374197,Pammy Norrie,1201200,3410
12992719,ChilliBeanz62,1188400,3350
9795849,Magnus the Terrible 439,1179300,3350
1148549,mehdialone,1174700,3340
851585890,SharpSabrina,1143500,3250
6141929,Carra,1136900,3230
4472091,Belch1,1143800,3190
850481022,TRTLC,1135200,3180
850813028,Cylens,1088200,3090
1891201,edman4444,1075800,3050
851298155,willow324,1071000,3040
853797540,Odinn,1053300,2930
1726167,Bendrr,1022700,2890
11482655,El Kabong,1027600,2880
1724508,cvetkovic,1021300,2880
852293256,Rolanddd,979500,2730
4765723,djcdjc,947600,2680
853346321,Moiraine of the Blue,909900,2520
854714000,sixtyodin,897000,2510
853116853,Master Jai,821200,2330
104779,VITORO,705900,1980
761097,gareth dragonsbane,671500,1870
852477144,Koneig,555500,1580
851616738,MagicI,499100,1420
850331824,Brocksta,341600,970
12714764,Jaffa The O,291700,810
